-35:17:28|||Counting down to launch
139:17:04|T|CDR|Twelve hours, huh? We could reenter with it.
139:17:06|C|Kerwin|That's affirm.
139:17:15|C|Kerwin|That's enough for two touch-and-goes and a full stop, Jim.
139:17:24|T|CDR|That's right, Joe; if you could dig a crater like Cone Crater, I just might hit it.
139:17:30|C|Kerwin|(Laughter) Okay.
139:17:33|T|CDR|Jack reports that he thinks he can see Altair.
139:17:36|C|Kerwin|Very good.
139:17:40|T|CDR|He says, he thinks he can see Altair.
139:17:44|C|Kerwin|Okay. I'll take back the "very," but I'll leave the "good."
139:19:19|P|PAO|This is Apollo Control Houston. We're now at 139 hours 19 minutes into the flight. Our digital displays show the Apollo 13 spacecraft at a distance of 27,698 nautical miles away from Earth. Velocity increasing, now reading 11,779 feet per second. As you heard the discussion earlier about LM descent battery number 3 has been taken off the line. Five batteries, including 2 in the ascent stage are now on the line. This gives almost 12 hours of light time remaining. To quickly recap what has transpired earlier, the midcourse burn number 7 was performed as scheduled at 137 hours 39 minutes 48 seconds into the flight. This was a burn of 23 seconds in duration with a DELTA-V of 3 feet per second. Our flight dynamics tracking confirms that the burn was performed precisely as planned. Command Module Pilot, Jack Swigert is now in the command module. Earlier he powered up the main BUS B, and powered up some of the equipment in his checkout process. The command module computer was verified as looking good. Service Module separation occurred a little earlier then planned. Of course, this is not a time critical event. Jim Lovell decided to separate from the service module some 8 minutes in advance of that time previously considered. We copied a separation time -
139:21:22|T|CDR|Houston, Aquarius.
139:21:25|C|Kerwin|Aquarius, Houston. Go.
139:21:30|T|CDR|I ran back there to take a look and see what I could see in the - in the scanning telescope. It looks pretty grim back there right now. It might be that we have to go with the coarse align, and maybe computation of some fine align docking angles, if we have time.
139:21:46|C|Kerwin|Okay. We'd like to do that, too. Wait a minute; stand by, Jim.
139:22:08|P|PAO|We copied service module separation 138 hours 2 minutes 8 seconds ground elapsed time. Jim Lovell vividly described the condition of the service module as Apollo 13 moved away from it as having one whole side missing. Fred Haise then reported that the service propulsion system engine bell appeared damaged. Looking ahead, we plan to bring up the command module batteries 2-1/2 hours prior to entry interface some considerably in advance of what would transpire if we had a normal mission. The batteries are normally brought on the line about 30 minutes prior to entry interface. Right now our clock is counting down to lunar module jettison. And we show a time of 2 hours 17 minutes from this time. We're at 139 hours 23 minutes into the flight, and this is Apollo Control Houston.
139:23:28|C|Mattingly|Aquarius, Houston. How do you read?
139:23:31|T|CDR|I read you loud and clear.
139:23:32|C|Mattingly|Okay. What we'd like to do, Jim, is - We'll go ahead and get the coarse align to the gimbal angles that - that you're going to be holding for us; and we'll get the platform up, and then when you call P52 and you use PICAPAR, it probably won't be close enough to put the star in the sextant, but if you can see any kind of a bright star in the general vicinity, - and like general vicinity, I mean 2 to 3 degrees from the center of the telescope, so that you have some clue as to which way to go, then the identification problem shouldn't present much of a - of a difficulty. And once you get the thing in the sextant, then you can go ahead and treat it like any other PICAPAR.
139:24:18|T|CDR|That sounds great, Ken. One little problem: there's all sorts of bright objects floating around us, and also that just staring at part of Aquarius; it's just reflecting light like mad. We can give it a try. There's no problem there; if we can see it, we'll get it.
139:24:38|C|Mattingly|Okay. And in - in the event that that doesn't work, we're standing by with the original scheme, a set of LM FDAI angles to fly to that'll point the command module optics at the Moon and the Sun; so we can always go back to that.
139:24:53|T|CDR|Okay.
139:25:10|C|Kerwin|And, Aquarius, Houston. We'd like you to verify the SUIT RELIEF valve to closed. Over.
139:25:18|T|CDR|Stand by. It's closed.
139:25:25|C|Kerwin|Okay.
139:31:05|T|CDR|Okay, Houston; Aquarius.
139:31:07|C|Kerwin|Aquarius, Houston. Go.
139:31:09|T|CDR|We'll go with your original 91-degree angle, if you have the stars figured out, and the coarse align angle for it.
139:31:18|C|Kerwin|Okay. Roger that, Jim. Then at - at your convenience here, we'd like you to go to that attitude, as close as you can get, and call up a NOUN 20 for us.
139:31:31|T|CDR|Okay. In work now.
139:31:33|C|Kerwin|Okay.
139:34:58|T|CDR|Houston, Aquarius.
139:35:02|C|Kerwin|Go ahead, Aquarius.
139:35:05|T|CDR|Okay. I take it that, if - if Jack cannot see stars at this attitude after you give him the coarse align angles, we're just not going to read down to you our gimbal angles and have you figure out a torquing angle for Jack, but you want him to do sighting on the Moon and the Sun. Is that correct?
139:35:26|C|Kerwin|That's roughly correct, Jim. Jack will coarse align at that attitude. This is what we're having you maneuver to the - to that attitude for. We're going to compute coarse align gimbal angles and pass them up to him, and the first thing he'll do when he gets there, per his checklist, is to coarse align his platform. Then he'll go into the P52, and, if he can't see stars, we will quickly pass up to you the - your FDAI angles to put him in the Moon-view attitude, and he'll do his P52 on the Moon, and then have you maneuver on the Sun and complete the P52 of the Sun.
139:36:11|T|CDR|Okay. But I'm going to have to maneuver to the Moon to help him out.
139:36:15|C|Kerwin|Oh. That's - That's affirmative. If he can't see stars at the - at the SEP attitude that - that you'll be holding, you'll have to maneuver to the Moon attitude and then to the Sun attitude for him.
139:37:26|C|Kerwin|Aquarius, Houston.
139:37:29|T|CDR|Go ahead.
139:37:30|C|Kerwin|Just like to mention that, even if, for some reason, we run out of time or something and don't complete the Moon-Sun P52, Jack will have a platform coarse align to the entry REFSMMAT, which we feel will be plenty good enough.
139:37:46|T|CDR|Roger. That's my feelings, too.
139:37:48|C|Kerwin|Okay.
139:41:26|P|PAO|This is Apollo Control, Houston, 139 hours 42 minutes now into the flight. Apollo 13 is presently 25,227 nautical miles out from Earth, traveling at a velocity of about 12,307 feet per second. As you heard the earlier discussion, Jack Swigert having some difficulty seeing stars through the command module optics. These sightings are used as a reference in platform alignment - that's the computer platform. The problem is caused by sunlight reflecting off the surface of the lunar module and this reflection getting into the optics and washing out the view of the stars. If Command Module Pilot Swigert is unsuccessful in his star sighting efforts, Jim Lovell will maneuver with the lunar module to give him the opportunity to sight off the Sun and Moon. We're at 139 hours 42 minutes and continuing to monitor. This is Apollo Control, Houston.
139:50:45|C|Kerwin|Aquarius, Houston.
139:50:49|T|CDR|Hello there, Houston.
139:50:50|C|Kerwin|Hi! Jim, we - We've gone ahead and computed the CSM coarse align gimbal angles based on your being at the service module SEP attitude at the time that Jack cranks up the computer and - and coarse aligns the IMU. That is, we assume that you're going to be at roll, 0; pitch, 091; yaw, 0; and, if you concur on that, I'd like to pass up the angles for - for Jack to have.
139:51:27|T|CDR|Okay. I'll be there to the best of my ability.
139:51:30|C|Kerwin|Good show. You ready to copy?
139:51:38|T|CDR|Go ahead.
139:51:40|C|Kerwin|Okay. CSM coarse align angles: ROLL, plus 298.95; PITCH, plus 271.30; YAW, plus 000.20.
139:52:11|T|CDR|Okay. The command module angles will be: ROLL, 298.95, PITCH, 271.30; and YAW, 000.20.
139:52:21|C|Kerwin|That's affirmative, and that's for his VERB 41 NOUN 20 when he gets there.
139:53:15|P|PAO|This is Apollo Control, Houston. 139 hours 53 minutes now into the flight of Apollo 13. Our display shows this 13 spacecraft at 23,873 nautical miles now out from Earth. Less than 20 minutes from this time, Jack Swigert aboard the Command Module will start drawing power from the 3 command module entry batteries. With this event forthcoming, Flight Director, Gene Kranz, advised his flight control team on the loop to review all checklist procedures for power transfer. You may recall that yesterday the entry batteries A and B were recharged from the LM. Presently there are 118 amp hours showing for the 3 entry batteries on the Command Module, this is within 2 amp hours of the lift-off number. We're at 139 hours 55 minutes into the flight and this is Apollo Control, Houston.
139:59:00|P|PAO|This is Apollo Control, Houston at 139 hours, 59 minutes now into the flight of Apollo 13. We presently show Apollo 13 at 23,196 nautical miles away from Earth and with a speed of 12,798 feet per second. The retrofire officer advised the flight director, Gene Kranz, that our entry times are holding quite firm. There's only a one second change in ground elapsed time for entry interface. We're now looking at 142 hours 40 minutes 39 seconds for time of entry into the Earths atmosphere and at a velocity of 36,211 feet per second, at an entry angle of 6.5 - minus 6.5 degrees. We're at 140 hours now into the flight and this is Apollo Control, Houston.
140:00:50|C|Kerwin|Aquarius, Houston. Over.
140:00:53|T|CDR|Go ahead, Houston; Aquarius here.
140:00:55|C|Kerwin|Okay, Jim. We're getting about 9 minutes from the commencement of command module powerup, and we wanted to just mention to you for Jack's benefit that, although the batteries are looking real good, in case they're cool and have a little difficulty hacking the load just at first, we'd like him to monitor main bus voltage to 24 volts or above during the powerup procedure and, if it falls below, we'll have a couple of circuit breakers for him that - that will solve the problem.
140:01:33|T|CDR|Okay. And I take it you're also monitoring main bus voltage.
140:01:38|C|Kerwin|Negative. Not in the command module at this time, because we don't call up telemetry until a little bit later on.
140:01:44|T|CDR|Ah so. That's right; I forgot. Okay. I will tell him.
140:01:47|C|Kerwin|Thank you.
140:09:48|C|Kerwin|Aquarius, Houston.
140:09:51|T|CDR|Go ahead.
140:09:52|C|Kerwin|Okay. You're GO to start powering up the command module.
140:09:56|T|CDR|Right-o. We're starting now.
140:09:58|C|Kerwin|Okay.
140:10:32|T|LMP|Okay. We have LM power breakers.
140:11:20|T|LMP|Okay. Houston, you're looking at it.
140:11:24|C|Kerwin|Okay. Roger. Stand by.
140:11:34|C|Kerwin|Okay. Press on, Fred.
140:11:39|T|LMP|Okay.
140:12:14|T|LMP|Okay. That's - That's it, Joe.
140:12:17|C|Kerwin|Okay. Real good.
140:16:18|P|PAO|Apollo Control Houston. 140 hours 16 minutes down in the flight - the network  -
140:16:23|C|Kerwin|Aquarius, Houston.
140:16:26|T|CDR|Go ahead.
140:16:27|C|Kerwin|Roger. We have command module AOS. Request OMNI Charlie in the CM. Over.
140:16:33|T|CDR|OMNI Charlie. Okay. Standby.
140:16:38|P|PAO|That call up from Joe Kerwin confirming that Honeysuckle has acquisition of signal on the command module S-band. We're at 140 hours 16 minutes. Apollo 13 now 21,092 nautical miles away.
140:16:45|T|CDR|Coming up.
140:16:46|C|Kerwin|Okay.
140:16:54|T|CDR|That was sent through a new onboard communication system known as yelling through the tunnel.
140:17:00|C|Kerwin|(Laughter) The one MC.
140:17:08|T|CDR|I've got Fred up there with Jack now helping to power up the CM, and I'm staying down in good old Aquarius.
140:17:16|C|Kerwin|Understand, Jim.
140:17:45|P|PAO|Apollo Control, Houston. We're 140 hours 18 minutes, now into the flight. That last report from spacecraft commander Jim Lovell, reporting that Fred Haise, now in the command module, helping Jack Swigert power up the systems. The nominal timeline called for Lovell and Haise is to transfer into the lunar module at about minus 1 hour 30 minutes from time of entry interface. So lunar module pilot, Haise has stepped ahead slightly in that timeline. We now show that we're 1 hour 22 minutes away from time of jettison of the lunar module. With 140 hours 19 minutes into the flight, this is Apollo Control Houston.
140:21:02|P|PAO|Apollo Control Houston at 140 hours 21 minutes now into the flight. We're receiving command module tracking data now and the data is looking good.
140:21:13|C|Kerwin|Aquarius, Houston.
140:21:16|T|CDR|Go ahead.
140:21:17|C|Kerwin|Just to inform you. We've got data from the - from Odyssey, and it looks good.
140:21:22|T|CDR|Hey, great.
140:21:30|P|PAO|However, in looking over some of the command module displays it appears -
140:21:33|T|CDR|Houston, Aquarius. Odyssey is trying to call. Can you read them?
140:21:36|C|Kerwin|Negative. Don't read Odyssey yet; has he got his intercom panel configured?
140:21:45|T|CDR|I'll doublecheck. They're hearing you.
140:21:49|C|Kerwin|Okay. Good deal. I don't hear him, yet.
140:21:56|P|PAO|It appears to be a little chilly inside the command module cabin at the present time. We have a reading of 38 degrees.
140:22:01|T|CDR|Are you ready for an E-MEMORY dump, VERB 74?
140:22:07|C|Kerwin|Stand by for just 1 minute, Jim.
140:22:42|T|CDR|We've got a lot of things to do, Houston.
140:22:45|C|Kerwin|I know it. Okay, Aquarius; Houston. Recommend in Odyssey that he switch the POWER AMPLIFIER to LOW. Over.
